0011.01 Sf [0.77,0.93,1.18,1.51,1.76] [1.32,1.86,3.78,4.95,5.24] [0.97,1.51,3.43,4.52,4.75] [-1.04,-0.35,0.85,1.53,2.08] [2.41,2.87,4.62,5.05,5.33]	
0012.01 Jv [1.09,1.13,1.17,1.21,1.27] [1.86,2.27,3.04,4.31,4.67] [1.14,1.56,2.34,3.59,3.91] [-0.96,-0.51,0.29,1.55,1.85] [2.47,2.91,3.70,4.99,5.26]	
0013.01 Jv [1.05,1.12,1.21,1.32,1.50] [1.87,2.29,3.35,4.71,4.95] [1.42,1.85,2.93,4.21,4.36] [-1.13,-0.55,0.61,1.57,1.85] [2.38,2.88,4.02,5.10,5.25]	
0014.01 Nf [0.55,0.62,0.69,0.80,0.90] [0.77,1.05,1.35,1.65,2.04] [0.29,0.57,0.85,1.14,1.52] [-0.57,-0.28,-0.00,0.27,0.65] [2.42,2.69,2.94,3.20,3.56]	
0015.01 Sf [1.45,1.70,2.02,2.28,2.46] [2.01,4.96,5.40,5.48,5.48] [1.42,4.40,4.75,4.83,4.86] [-4.55,-0.66,0.12,0.79,1.25] [0.14,3.87,4.39,4.75,4.97]	
0016.01 Sf [0.79,1.01,1.64,1.94,2.13] [1.36,2.49,5.09,5.42,5.48] [1.06,2.15,4.70,4.97,5.02] [-0.76,-0.09,0.59,1.22,1.87] [2.53,3.29,4.63,4.92,5.19]	
0017.01 Jv [1.08,1.10,1.13,1.15,1.19] [1.82,2.32,3.14,4.14,4.56] [1.44,1.93,2.76,3.75,4.14] [-0.82,-0.33,0.51,1.52,1.91] [2.56,3.04,3.88,4.89,5.28]	
0018.01 Jv [1.12,1.14,1.18,1.21,1.24] [1.86,2.27,3.01,4.29,4.64] [1.41,1.81,2.56,3.83,4.15] [-0.95,-0.52,0.23,1.53,1.84] [2.49,2.90,3.65,4.95,5.25]	
0019.01 Sf [0.96,1.12,1.32,1.45,1.56] [1.77,2.39,4.67,4.88,5.03] [1.55,2.16,4.40,4.59,4.70] [-1.30,-0.40,1.23,1.52,1.88] [2.28,3.00,4.92,5.08,5.23]	
0020.01 Jv [1.11,1.16,1.23,1.30,1.38] [1.86,2.25,3.25,4.68,4.82] [1.43,1.82,2.82,4.20,4.31] [-1.18,-0.65,0.42,1.59,1.79] [2.35,2.81,3.86,5.11,5.23]	
0021.01 Sf [1.22,1.35,1.51,1.69,1.87] [2.04,4.73,4.95,5.16,5.37] [1.64,4.28,4.46,4.63,4.78] [-1.22,0.63,1.07,1.37,1.58] [2.35,4.66,4.88,5.02,5.14]	
0022.01 Jv [1.01,1.05,1.09,1.16,1.23] [1.74,2.29,3.24,4.20,4.57] [1.22,1.76,2.71,3.65,4.00] [-0.84,-0.31,0.70,1.67,2.00] [2.53,3.05,4.04,5.02,5.32]	
0023.01 Jf [1.14,1.19,1.24,1.30,1.38] [1.86,2.23,3.24,4.69,4.82] [1.37,1.74,2.76,4.16,4.26] [-1.19,-0.71,0.35,1.60,1.77] [2.34,2.76,3.81,5.12,5.22]	
0024.01 Jf [0.83,0.89,0.98,1.09,1.20] [1.28,1.64,2.74,4.10,4.47] [1.03,1.38,2.46,3.82,4.17] [-0.78,-0.42,0.29,1.80,2.24] [2.44,2.77,3.60,5.08,5.44]	
0025.01 Sf [1.22,1.29,1.37,1.49,1.62] [1.93,2.74,4.78,4.93,5.09] [1.55,2.38,4.35,4.46,4.57] [-1.37,-0.32,1.29,1.50,1.64] [2.23,3.19,4.97,5.09,5.17]	
0026.01 Jf [0.94,1.00,1.09,1.23,1.41] [1.61,2.18,3.33,4.41,4.84] [1.01,1.53,2.70,3.77,4.12] [-0.97,-0.39,0.81,1.68,2.08] [2.45,2.95,4.15,5.09,5.35]	
0027.01 Sf [1.83,1.89,1.97,2.09,2.23] [5.27,5.36,5.44,5.48,5.48] [4.95,5.01,5.05,5.08,5.10] [-0.46,-0.04,0.27,0.45,0.58] [4.01,4.28,4.48,4.59,4.67]	
0028.01 Sf [1.68,1.73,1.82,1.94,2.06] [5.10,5.19,5.30,5.43,5.48] [4.62,4.68,4.76,4.83,4.87] [0.01,0.33,0.58,0.74,0.87] [4.32,4.52,4.64,4.74,4.81]	
0031.01 Sf [1.59,1.65,1.72,1.80,1.88] [5.00,5.09,5.19,5.30,5.39] [4.72,4.79,4.85,4.92,4.98] [0.45,0.60,0.76,0.91,1.04] [4.56,4.65,4.73,4.81,4.89]	
0033.01 Sf [1.58,1.62,1.68,1.74,1.78] [4.98,5.05,5.13,5.22,5.30] [4.84,4.89,4.94,4.98,5.03] [0.62,0.72,0.84,0.96,1.06] [4.63,4.70,4.77,4.84,4.91]	
0041.01 Nv [0.30,0.32,0.35,0.37,0.40] [0.33,0.53,0.77,1.01,1.26] [-0.24,-0.04,0.18,0.42,0.67] [0.02,0.24,0.47,0.71,0.96] [2.63,2.84,3.06,3.30,3.55]	
0041.02 Nv [0.06,0.09,0.11,0.15,0.19] [-0.00,0.17,0.35,0.59,0.86] [-0.49,-0.31,-0.14,0.10,0.36] [0.41,0.58,0.74,0.97,1.23] [2.78,2.95,3.10,3.34,3.60]	
0041.03 Nv [0.12,0.14,0.17,0.20,0.25] [0.14,0.31,0.49,0.73,0.98] [-0.59,-0.42,-0.24,-0.00,0.25] [0.36,0.54,0.72,0.94,1.20] [2.80,2.96,3.14,3.36,3.62]	
0042.01 Nv [0.35,0.37,0.39,0.41,0.43] [0.37,0.59,0.83,1.07,1.33] [-0.28,-0.06,0.16,0.41,0.67] [-0.04,0.17,0.41,0.65,0.91] [2.59,2.81,3.04,3.29,3.55]	
0044.01 Jf [0.98,1.03,1.10,1.19,1.31] [1.71,2.26,3.27,4.29,4.71] [0.91,1.43,2.45,3.47,3.81] [-0.92,-0.37,0.70,1.67,2.03] [2.48,2.99,4.06,5.08,5.33]	
0046.01 Nv [0.58,0.64,0.70,0.78,0.85] [0.80,1.08,1.36,1.64,1.93] [0.42,0.70,0.97,1.24,1.52] [-0.55,-0.28,-0.01,0.24,0.53] [2.43,2.68,2.94,3.19,3.45]	
0046.02 Tv [-0.11,-0.05,0.01,0.09,0.17] [-0.52,-0.24,0.06,0.40,0.73] [-0.98,-0.70,-0.40,-0.08,0.23] [0.40,0.57,0.73,0.94,1.31] [2.62,2.81,3.01,3.24,3.58]	
0048.01 Nf [2.07,2.27,2.53,2.86,3.11] [1.91,2.04,2.13,5.48,5.48] [1.25,1.38,1.48,4.64,4.67] [-6.48,-5.73,-4.74,-0.59,-0.01] [-1.12,-0.62,0.03,3.92,4.31]	
0049.01 Nv [0.41,0.43,0.47,0.51,0.55] [0.47,0.71,0.95,1.22,1.48] [-0.03,0.19,0.44,0.70,0.96] [-0.19,0.04,0.29,0.54,0.80] [2.53,2.76,3.01,3.26,3.51]	
0052.01 Jf [1.18,1.22,1.26,1.31,1.41] [1.86,2.22,3.40,4.71,4.86] [1.56,1.91,3.10,4.35,4.46] [-1.22,-0.79,0.44,1.60,1.73] [2.31,2.71,3.93,5.13,5.21]	
0061.01 Sf [1.11,1.41,1.75,2.01,2.18] [2.14,4.81,5.21,5.46,5.48] [1.85,4.49,4.82,4.99,5.03] [-0.86,0.04,0.61,1.19,1.56] [2.64,4.31,4.65,4.93,5.11]	
0063.01 Nv [0.71,0.73,0.77,0.81,0.85] [0.95,1.21,1.46,1.72,1.99] [0.45,0.71,0.97,1.22,1.49] [-0.61,-0.35,-0.09,0.15,0.42] [2.41,2.67,2.92,3.17,3.43]	
0064.01 Nc [0.81,0.86,0.91,0.96,1.03] [1.18,1.48,1.82,3.89,4.37] [0.86,1.15,1.48,3.54,4.00] [-0.74,-0.45,-0.11,1.79,2.32] [2.40,2.69,3.02,4.99,5.49]	
0066.01 Sf [2.11,2.19,2.28,2.35,2.42] [1.94,2.10,5.47,5.48,5.48] [1.69,1.85,5.11,5.13,5.14] [-4.43,-4.15,-0.63,-0.36,-0.11] [0.21,0.42,3.90,4.07,4.24]	
0068.01 Sf [1.47,1.77,2.09,2.32,2.49] [1.99,4.78,5.43,5.48,5.48] [1.73,4.53,5.04,5.09,5.11] [-4.64,-0.98,-0.06,0.66,1.19] [0.08,3.64,4.27,4.69,4.94]	
0069.01 Nv [0.13,0.15,0.17,0.19,0.21] [0.15,0.32,0.50,0.72,0.97] [-0.22,-0.05,0.11,0.34,0.60] [0.38,0.54,0.72,0.94,1.19] [2.81,2.97,3.14,3.37,3.62]	
0070.01 Nv [0.41,0.43,0.47,0.51,0.56] [0.47,0.71,0.96,1.23,1.49] [-0.03,0.20,0.46,0.72,0.98] [-0.19,0.04,0.29,0.54,0.81] [2.53,2.77,3.01,3.26,3.52]	
0070.02 Nv [0.20,0.23,0.27,0.32,0.38] [0.26,0.45,0.67,0.91,1.17] [-0.08,0.10,0.31,0.56,0.82] [0.14,0.36,0.59,0.83,1.08] [2.70,2.90,3.11,3.34,3.60]	
0070.03 Nv [0.35,0.38,0.41,0.46,0.51] [0.41,0.62,0.87,1.14,1.40] [-0.38,-0.16,0.08,0.34,0.61] [-0.11,0.11,0.36,0.62,0.87] [2.57,2.79,3.03,3.28,3.53]	
0070.04 Tv [-0.16,-0.13,-0.10,-0.05,0.00] [-0.77,-0.58,-0.36,-0.10,0.41] [-1.20,-1.00,-0.79,-0.53,-0.01] [0.35,0.52,0.68,0.86,1.41] [2.48,2.65,2.83,3.02,3.57]	
0070.05 Tv [-0.07,-0.04,-0.00,0.04,0.09] [-0.43,-0.22,-0.01,0.25,0.60] [-1.02,-0.81,-0.60,-0.33,0.01] [0.40,0.57,0.73,0.93,1.33] [2.63,2.81,2.98,3.19,3.58]	
0072.01 Nv [0.13,0.14,0.16,0.18,0.20] [0.14,0.30,0.47,0.70,0.95] [0.00,0.16,0.33,0.57,0.82] [0.39,0.55,0.72,0.95,1.21] [2.81,2.96,3.14,3.37,3.62]	
0072.02 Nv [0.32,0.34,0.36,0.38,0.40] [0.34,0.55,0.78,1.03,1.28] [-0.36,-0.16,0.07,0.31,0.56] [0.00,0.21,0.45,0.69,0.94] [2.62,2.83,3.06,3.30,3.55]	
0074.01 Nf [0.49,0.54,0.66,0.81,0.95] [0.67,0.97,1.30,1.64,3.59] [0.08,0.37,0.66,0.98,2.85] [-0.55,-0.24,0.05,0.36,1.44] [2.44,2.70,2.96,3.23,4.65]	
0075.01 Jc [0.92,0.95,0.99,1.04,1.07] [1.42,1.80,3.28,4.16,4.42] [0.50,0.87,2.34,3.22,3.47] [-0.75,-0.37,1.00,1.92,2.21] [2.48,2.84,4.26,5.17,5.43]	
0076.01 Nf [0.75,0.83,0.94,1.04,1.13] [1.15,1.48,1.96,3.96,4.41] [0.22,0.54,1.00,2.98,3.41] [-0.72,-0.41,0.01,1.71,2.24] [2.43,2.73,3.14,4.96,5.44]	
0080.01 Nf [1.69,2.13,3.02,3.53,3.74] [1.92,2.04,2.13,5.30,5.48] [1.24,1.37,1.46,4.54,4.70] [-8.37,-7.73,-6.20,-0.16,0.81] [-2.39,-1.96,-0.94,4.21,4.77]	
0081.01 Jf [0.86,0.97,1.06,1.17,1.28] [1.43,1.95,3.18,4.22,4.65] [0.55,1.03,2.24,3.28,3.65] [-0.87,-0.39,0.66,1.74,2.13] [2.48,2.88,4.00,5.10,5.37]	
0082.01 Nv [0.34,0.36,0.39,0.41,0.44] [0.38,0.59,0.83,1.07,1.33] [-0.14,0.06,0.30,0.55,0.80] [-0.04,0.17,0.41,0.65,0.91] [2.60,2.81,3.05,3.29,3.54]	
0082.02 Tv [0.06,0.08,0.10,0.13,0.18] [-0.02,0.14,0.32,0.56,0.84] [-0.48,-0.31,-0.14,0.10,0.37] [0.43,0.58,0.74,0.97,1.23] [2.78,2.94,3.10,3.33,3.59]	
0082.03 Tv [-0.13,-0.11,-0.08,-0.05,-0.01] [-0.69,-0.50,-0.31,-0.09,0.41] [-1.29,-1.10,-0.92,-0.70,-0.18] [0.36,0.53,0.69,0.87,1.40] [2.51,2.68,2.85,3.04,3.57]	
0082.04 Tv [-0.27,-0.24,-0.22,-0.18,-0.14] [-1.17,-0.98,-0.80,-0.60,-0.33] [-1.57,-1.39,-1.21,-1.01,-0.75] [0.28,0.45,0.60,0.76,0.98] [2.30,2.47,2.63,2.80,3.03]	
0082.05 Tv [-0.35,-0.33,-0.30,-0.27,-0.23] [-1.49,-1.30,-1.12,-0.92,-0.69] [-1.84,-1.66,-1.48,-1.29,-1.06] [0.23,0.40,0.55,0.70,0.88] [2.16,2.33,2.49,2.65,2.83]	
0084.01 Nv [0.30,0.32,0.35,0.39,0.43] [0.34,0.54,0.77,1.03,1.29] [-0.12,0.07,0.30,0.55,0.81] [0.01,0.22,0.45,0.70,0.96] [2.63,2.83,3.06,3.30,3.56]	
0085.01 Nv [0.36,0.38,0.40,0.42,0.44] [0.39,0.61,0.86,1.10,1.35] [-0.11,0.11,0.35,0.60,0.85] [-0.07,0.15,0.39,0.64,0.89] [2.57,2.80,3.04,3.29,3.54]	
0085.02 Nv [0.11,0.13,0.15,0.17,0.19] [0.11,0.27,0.45,0.68,0.95] [-0.24,-0.08,0.09,0.32,0.58] [0.40,0.56,0.73,0.96,1.22] [2.81,2.96,3.13,3.36,3.62]	
0085.03 Nv [0.14,0.16,0.18,0.20,0.23] [0.16,0.32,0.51,0.74,0.99] [-0.38,-0.21,-0.03,0.19,0.44] [0.36,0.53,0.71,0.94,1.19] [2.80,2.96,3.14,3.37,3.62]	
0087.01 Nv [0.22,0.25,0.28,0.32,0.37] [0.28,0.46,0.68,0.92,1.18] [-0.67,-0.49,-0.27,-0.03,0.22] [0.14,0.35,0.57,0.81,1.07] [2.70,2.89,3.10,3.34,3.59]	
0088.01 Nf [0.30,0.36,0.44,0.56,0.70] [0.41,0.65,0.94,1.24,1.58] [0.03,0.27,0.55,0.86,1.19] [-0.25,0.03,0.32,0.59,0.87] [2.53,2.78,3.02,3.27,3.53]	
0089.01 Nv [0.36,0.42,0.49,0.56,0.64] [0.47,0.72,0.99,1.27,1.56] [-0.43,-0.17,0.08,0.35,0.63] [-0.26,0.00,0.27,0.53,0.80] [2.51,2.76,3.00,3.26,3.51]	
0089.02 Nc [0.44,0.50,0.57,0.64,0.73] [0.58,0.85,1.13,1.41,1.68] [-0.44,-0.17,0.09,0.36,0.63] [-0.37,-0.10,0.16,0.43,0.69] [2.48,2.73,2.98,3.23,3.48]	
0090.01 Nf [0.55,0.62,0.72,0.84,0.97] [0.78,1.08,1.39,1.73,3.90] [0.59,0.88,1.17,1.48,3.58] [-0.60,-0.30,-0.01,0.29,1.76] [2.42,2.69,2.95,3.23,4.98]	
0092.01 Nc [0.36,0.39,0.44,0.49,0.55] [0.41,0.66,0.91,1.17,1.45] [-0.37,-0.13,0.11,0.37,0.64] [-0.16,0.08,0.33,0.59,0.85] [2.54,2.78,3.02,3.27,3.52]	
0094.01 Jv [0.88,0.93,0.99,1.06,1.14] [1.36,1.73,3.08,4.13,4.44] [0.69,1.06,2.40,3.44,3.74] [-0.76,-0.39,0.74,1.88,2.24] [2.46,2.81,4.03,5.13,5.45]	
0094.02 Nv [0.46,0.50,0.56,0.64,0.71] [0.58,0.86,1.13,1.41,1.68] [0.02,0.29,0.56,0.83,1.11] [-0.37,-0.10,0.16,0.42,0.69] [2.47,2.73,2.98,3.23,3.49]	
0094.03 Nv [0.66,0.70,0.76,0.84,0.91] [0.91,1.19,1.46,1.75,3.21] [0.11,0.38,0.65,0.94,2.36] [-0.62,-0.34,-0.08,0.19,1.25] [2.41,2.67,2.93,3.19,4.40]	
0094.04 Nv [0.06,0.11,0.17,0.25,0.32] [0.05,0.26,0.49,0.76,1.03] [-0.34,-0.14,0.06,0.33,0.59] [0.29,0.50,0.70,0.92,1.19] [2.77,2.94,3.12,3.35,3.60]	
0097.01 Jv [1.20,1.21,1.23,1.25,1.27] [1.86,2.22,2.97,4.61,4.71] [1.37,1.72,2.48,4.09,4.17] [-1.09,-0.73,0.03,1.65,1.75] [2.39,2.74,3.51,5.14,5.23]	
0098.01 Jv [1.05,1.07,1.09,1.11,1.12] [1.77,2.35,3.28,4.16,4.50] [1.20,1.77,2.70,3.58,3.91] [-0.75,-0.18,0.75,1.63,1.97] [2.58,3.15,4.09,4.97,5.31]	
0099.01 Nc [0.45,0.47,0.49,0.52,0.54] [0.50,0.75,1.00,1.24,1.50] [-0.71,-0.47,-0.22,0.02,0.28] [-0.22,0.01,0.26,0.51,0.77] [2.51,2.76,3.00,3.25,3.51]	
0100.01 Jc [1.04,1.11,1.20,1.27,1.35] [1.84,2.26,3.18,4.61,4.77] [1.18,1.59,2.53,3.91,4.05] [-1.10,-0.58,0.42,1.60,1.86] [2.39,2.85,3.84,5.11,5.25]	
0102.01 Nc [0.44,0.48,0.52,0.57,0.64] [0.53,0.78,1.05,1.32,1.58] [0.25,0.51,0.76,1.03,1.29] [-0.29,-0.03,0.22,0.47,0.73] [2.49,2.74,2.99,3.24,3.49]	
0102.02 Tf [-0.08,-0.05,-0.00,0.05,0.12] [-0.48,-0.26,-0.01,0.28,0.62] [-0.87,-0.66,-0.42,-0.13,0.21] [0.40,0.57,0.73,0.93,1.33] [2.62,2.80,2.98,3.19,3.56]	
0103.01 Nc [0.38,0.41,0.44,0.48,0.53] [0.42,0.66,0.91,1.17,1.43] [-0.12,0.10,0.35,0.61,0.87] [-0.16,0.07,0.32,0.58,0.84] [2.54,2.77,3.02,3.27,3.52]	
0104.01 Nv [0.46,0.48,0.50,0.52,0.54] [0.51,0.76,1.01,1.25,1.52] [0.24,0.49,0.74,0.99,1.26] [-0.23,0.00,0.25,0.50,0.76] [2.51,2.75,3.00,3.24,3.51]	
0105.01 Nv [0.39,0.42,0.46,0.52,0.60] [0.46,0.70,0.95,1.23,1.49] [0.01,0.25,0.50,0.77,1.03] [-0.20,0.04,0.29,0.55,0.82] [2.53,2.77,3.01,3.26,3.52]	
0106.01 Sf [1.53,1.70,1.92,2.14,2.30] [4.79,5.14,5.40,5.48,5.48] [4.41,4.70,4.89,4.95,4.99] [-0.87,-0.19,0.37,0.80,1.13] [3.73,4.19,4.54,4.75,4.92]	
0107.01 Nv [0.49,0.51,0.53,0.55,0.57] [0.55,0.80,1.05,1.31,1.57] [0.03,0.28,0.53,0.78,1.04] [-0.28,-0.03,0.22,0.47,0.72] [2.49,2.74,2.99,3.24,3.50]	
0108.01 Nv [0.46,0.48,0.50,0.53,0.55] [0.51,0.77,1.01,1.26,1.51] [-0.09,0.14,0.39,0.64,0.89] [-0.24,0.00,0.25,0.49,0.75] [2.51,2.75,3.00,3.25,3.50]	
0108.02 Nv [0.67,0.70,0.72,0.74,0.77] [0.86,1.13,1.38,1.63,1.88] [-0.10,0.15,0.41,0.65,0.91] [-0.55,-0.28,-0.03,0.21,0.46] [2.41,2.68,2.93,3.18,3.43]	
0109.01 Sf [1.02,1.26,1.52,1.76,1.93] [1.96,3.70,4.96,5.23,5.42] [1.52,3.26,4.44,4.66,4.79] [-1.10,0.40,0.94,1.35,1.68] [2.42,4.37,4.81,5.00,5.16]	
0110.01 Nv [0.38,0.42,0.47,0.53,0.60] [0.46,0.70,0.96,1.23,1.50] [-0.09,0.14,0.39,0.66,0.92] [-0.21,0.03,0.29,0.55,0.82] [2.53,2.77,3.01,3.26,3.52]	
0111.01 Nv [0.27,0.30,0.34,0.40,0.46] [0.33,0.53,0.77,1.03,1.30] [-0.18,0.01,0.25,0.50,0.77] [0.00,0.23,0.47,0.72,0.97] [2.63,2.84,3.07,3.31,3.56]	
0111.02 Nv [0.25,0.28,0.33,0.38,0.44] [0.32,0.51,0.75,1.00,1.27] [-0.30,-0.10,0.12,0.37,0.64] [0.03,0.26,0.50,0.75,1.01] [2.65,2.85,3.08,3.32,3.57]	
0111.03 Nv [0.31,0.34,0.38,0.44,0.50] [0.36,0.58,0.83,1.08,1.35] [-0.37,-0.15,0.09,0.35,0.61] [-0.07,0.16,0.41,0.66,0.92] [2.59,2.81,3.04,3.29,3.54]	
0112.01 Nv [0.37,0.40,0.44,0.50,0.55] [0.42,0.67,0.92,1.18,1.45] [-0.31,-0.08,0.17,0.43,0.70] [-0.16,0.07,0.33,0.58,0.84] [2.54,2.78,3.02,3.27,3.52]	
0112.02 Tv [0.00,0.03,0.07,0.13,0.19] [-0.17,0.03,0.24,0.51,0.81] [-0.54,-0.33,-0.12,0.14,0.43] [0.42,0.58,0.74,0.96,1.25] [2.74,2.91,3.07,3.30,3.58]	
0113.01 Sf [1.57,1.60,1.64,1.70,1.79] [4.96,5.03,5.10,5.18,5.28] [3.82,3.87,3.93,4.00,4.08] [0.62,0.79,0.91,1.00,1.08] [4.64,4.73,4.80,4.86,4.93]	
0114.01 Sf [1.29,1.55,1.92,2.19,2.33] [2.07,4.95,5.37,5.48,5.48] [1.50,4.34,4.69,4.77,4.79] [-4.06,-0.37,0.34,1.02,1.45] [0.48,4.06,4.52,4.86,5.07]	
0115.01 Nv [0.33,0.37,0.42,0.48,0.55] [0.40,0.63,0.88,1.14,1.42] [-0.02,0.20,0.46,0.72,1.00] [-0.13,0.10,0.36,0.61,0.88] [2.56,2.78,3.03,3.28,3.54]	
0115.02 Nv [0.08,0.12,0.17,0.24,0.30] [0.10,0.28,0.50,0.75,1.02] [-0.35,-0.17,0.03,0.28,0.55] [0.31,0.51,0.70,0.93,1.19] [2.78,2.95,3.12,3.36,3.61]	
0115.03 Tc [-0.38,-0.33,-0.27,-0.20,-0.13] [-1.50,-1.26,-1.00,-0.71,-0.38] [-1.85,-1.61,-1.36,-1.08,-0.75] [0.25,0.41,0.57,0.73,0.92] [2.18,2.36,2.54,2.73,2.95]	
0116.01 Nv [0.29,0.32,0.36,0.42,0.48] [0.34,0.56,0.79,1.05,1.32] [-0.20,0.00,0.24,0.49,0.76] [-0.03,0.20,0.44,0.69,0.95] [2.61,2.82,3.05,3.30,3.56]	
0116.02 Nv [0.32,0.35,0.39,0.45,0.51] [0.37,0.59,0.84,1.10,1.37] [-0.34,-0.12,0.11,0.37,0.64] [-0.08,0.14,0.39,0.65,0.91] [2.58,2.80,3.04,3.29,3.55]	
0116.03 Tv [-0.17,-0.13,-0.08,-0.03,0.03] [-0.78,-0.57,-0.32,-0.03,0.44] [-1.22,-1.01,-0.77,-0.48,-0.00] [0.35,0.52,0.68,0.86,1.39] [2.48,2.66,2.84,3.05,3.56]	
0116.04 Tv [-0.09,-0.05,-0.00,0.04,0.11] [-0.49,-0.27,-0.03,0.26,0.62] [-1.12,-0.90,-0.66,-0.37,-0.01] [0.39,0.57,0.73,0.93,1.33] [2.61,2.79,2.97,3.19,3.57]	
0117.01 Nv [0.44,0.45,0.47,0.50,0.53] [0.48,0.72,0.96,1.22,1.48] [-0.14,0.09,0.34,0.59,0.85] [-0.20,0.04,0.28,0.54,0.79] [2.52,2.76,3.01,3.26,3.51]	
0117.02 Nv [0.20,0.21,0.23,0.25,0.27] [0.23,0.41,0.60,0.83,1.08] [-0.23,-0.05,0.13,0.36,0.62] [0.27,0.45,0.65,0.88,1.13] [2.76,2.94,3.13,3.36,3.61]	
0117.03 Nv [0.17,0.18,0.20,0.22,0.25] [0.20,0.37,0.55,0.78,1.04] [-0.20,-0.03,0.15,0.38,0.64] [0.33,0.50,0.69,0.92,1.16] [2.79,2.96,3.14,3.37,3.62]	
0117.04 Tv [0.00,0.02,0.04,0.06,0.10] [-0.22,-0.03,0.14,0.36,0.68] [-0.76,-0.57,-0.40,-0.17,0.14] [0.42,0.59,0.75,0.96,1.28] [2.70,2.88,3.04,3.25,3.57]	
0118.01 Nv [0.31,0.33,0.35,0.37,0.40] [0.33,0.53,0.77,1.01,1.27] [-0.31,-0.11,0.11,0.35,0.61] [0.03,0.23,0.46,0.71,0.96] [2.63,2.83,3.06,3.30,3.56]	
0119.01 Nv [0.87,0.89,0.91,0.94,0.96] [1.23,1.50,1.83,3.92,4.36] [0.41,0.69,1.01,3.09,3.52] [-0.75,-0.47,-0.15,1.88,2.35] [2.40,2.68,3.00,5.06,5.52]	
0119.02 Nv [0.82,0.84,0.87,0.90,0.92] [1.14,1.40,1.67,2.02,4.28] [0.12,0.39,0.66,1.00,3.25] [-0.72,-0.46,-0.19,0.15,2.37] [2.39,2.65,2.92,3.27,5.50]	
0120.01 Sc [1.07,1.36,1.73,2.00,2.16] [2.06,4.74,5.20,5.46,5.48] [1.44,4.07,4.46,4.64,4.67] [-0.88,0.02,0.60,1.22,1.60] [2.59,4.28,4.64,4.94,5.13]	
